Institution,Spatial Jurisdiction (verbatim),Keywords Extracted (Cleaned & No Stopwords),Keyword Frequency,KWIC Evidence (keywords→snippet),Consolidated Meaningful Keywords,Keywords→Candidate Categories (pre-decision),Keywords→Category Map (flat),Consolidated Keywords→Category Trigger Map,Mapping Rationale (keyword→category + method),Ordinal Score (0–10),Methodological Notes
IPCC,"The IPCC's authority is global, covering all regions of the world and their climate systems (https://www.ipcc.ch/about/). This includes the atmosphere, the oceans, the cryosphere, the land surface and the biosphere. The IPCC does not have any legal or political jurisdiction over any specific area, but rather provides scientific assessments and guidance for governments and other stakeholders. The IPCC divides the world into 10 regions for its interactive atlas (https://interactive-atlas.ipcc.ch/regional-information/guidance), which shows the projected changes and impacts of climate change for each region based on different scenarios and models. The regions are: Africa, Asia, Australasia, Central and South America, Europe, Mountains, North and Central America, Polar Regions, Small Islands and Oceans.","ipcc, authority, global, covering, all, regions, world, climate, systems, includes, atmosphere, oceans, cryosphere, land, surface, biosphere, ipcc, does, not, any, legal, political, jurisdiction, over, any, specific, area, but, rather, provides, scientific, assessments, guidance, governments, stakeholders, ipcc, divides, world, regions, interactive, atlas, shows, projected, changes, impacts, climate, change, each, region, based, different, scenarios, models, regions, africa, asia, australasia, central, south, america, europe, mountains, north, central, america, polar, regions, small, islands, oceans","{'ipcc': 3, 'authority': 1, 'global': 1, 'covering': 1, 'all': 1, 'regions': 4, 'world': 2, 'climate': 2, 'systems': 1, 'includes': 1, 'atmosphere': 1, 'oceans': 2, 'cryosphere': 1, 'land': 1, 'surface': 1, 'biosphere': 1, 'does': 1, 'not': 1, 'any': 2, 'legal': 1, 'political': 1, 'jurisdiction': 1, 'over': 1, 'specific': 1, 'area': 1, 'but': 1, 'rather': 1, 'provides': 1, 'scientific': 1, 'assessments': 1, 'guidance': 1, 'governments': 1, 'stakeholders': 1, 'divides': 1, 'interactive': 1, 'atlas': 1, 'shows': 1, 'projected': 1, 'changes': 1, 'impacts': 1, 'change': 1, 'each': 1, 'region': 1, 'based': 1, 'different': 1, 'scenarios': 1, 'models': 1, 'africa': 1, 'asia': 1, 'australasia': 1, 'central': 2, 'south': 1, 'america': 2, 'europe': 1, 'mountains': 1, 'north': 1, 'polar': 1, 'small': 1, 'islands': 1}",,"africa, all, america, any, area, asia, assessments, atlas, atmosphere, australasia, authority, based, biosphere, but, central, change, changes, climate, covering, cryosphere, different, divides, does, each, europe, global, governments, guidance, impacts, includes, interactive, ipcc, islands, jurisdiction, land, legal, models, mountains, north, not, oceans, over, polar, political, projected, provides, rather, region, regions, scenarios, scientific, shows, small, south, specific, stakeholders, surface, systems, world",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Trade Organization (WTO) ,"The World Trade Organization (WTO)'s jurisdiction is not limited to a specific geographical area, ocean space, territory, or maritime zones. Instead, as an intergovernmental organization that regulates and facilitates international trade it has a global reach, with 164 member states representing over 98% of global trade and global GDP (https://www.wto.org/english/thewto_e/whatis_e/tif_e/org6_e.htm). The WTO's authority extends to the trade practices within these member states, irrespective of their location or the extent of their territorial waters and exclusive economic zones. It does not exercise jurisdiction in the same way a state does as its main purpose is to reduce tariffs and other barriers to trade.","world, trade, organization, wto, jurisdiction, not, limited, specific, geographical, area, ocean, space, territory, maritime, zones, instead, intergovernmental, organization, regulates, facilitates, international, trade, global, reach, 164, member, states, representing, over, global, trade, global, gdp, wto, authority, extends, trade, practices, member, states, irrespective, location, extent, territorial, waters, exclusive, economic, zones, does, not, exercise, jurisdiction, same, way, state, does, main, purpose, reduce, tariffs, barriers, trade","{'world': 1, 'trade': 5, 'organization': 2, 'wto': 2, 'jurisdiction': 2, 'not': 2, 'limited': 1, 'specific': 1, 'geographical': 1, 'area': 1, 'ocean': 1, 'space': 1, 'territory': 1, 'maritime': 1, 'zones': 2, 'instead': 1, 'intergovernmental': 1, 'regulates': 1, 'facilitates': 1, 'international': 1, 'global': 3, 'reach': 1, '164': 1, 'member': 2, 'states': 2, 'representing': 1, 'over': 1, 'gdp': 1, 'authority': 1, 'extends': 1, 'practices': 1, 'irrespective': 1, 'location': 1, 'extent': 1, 'territorial': 1, 'waters': 1, 'exclusive': 1, 'economic': 1, 'does': 2, 'exercise': 1, 'same': 1, 'way': 1, 'state': 1, 'main': 1, 'purpose': 1, 'reduce': 1, 'tariffs': 1, 'barriers': 1}",territorial waters: f their location or the extent of their **territorial waters** and exclusive economic zones. It does n; exclusive economic zone: extent of their territorial waters and **exclusive economic zone**s. It does not exercise jurisdiction in,"164, area, authority, barriers, does, economic, exclusive, exercise, extends, extent, facilitates, gdp, geographical, global, instead, intergovernmental, international, irrespective, jurisdiction, limited, location, main, maritime, member, not, ocean, organization, over, practices, purpose, reach, reduce, regulates, representing, same, space, specific, state, states, tariffs, territorial, territory, trade, waters, way, world, wto, zones","['Territorial Sea (TS)', 'Exclusive Economic Zone (EEZ)']",Territorial Sea (TS); Exclusive Economic Zone (EEZ),"{'Territorial Sea (TS)': ['territorial waters'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone']}",Territorial Sea (TS): matched territorial waters (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone (string match + KWIC),2,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
"International Organization for Migration (IOM)

","IOM's jurisdiction is global, covering all the regions and countries where it operates and provides services and advice to governments and migrants. This includes a presence in over 100 countries, with 175 member states and 8 observer states (https://www.iom.int/member-states). IOM does not have a specific authority on oceans and maritime zones, but it works closely with other UN agencies and partners to address the challenges and opportunities of migration by sea, such as rescue operations, human trafficking, environmental issues, and regional cooperation (https://governingbodies.iom.int/iom-governing-bodies).","iom, jurisdiction, global, covering, all, regions, countries, where, operates, provides, services, advice, governments, migrants, includes, presence, over, 100, countries, 175, member, states, observer, states, iom, does, not, specific, authority, oceans, maritime, zones, but, works, closely, agencies, partners, address, challenges, opportunities, migration, sea, rescue, operations, human, trafficking, environmental, issues, regional, cooperation","{'iom': 2, 'jurisdiction': 1, 'global': 1, 'covering': 1, 'all': 1, 'regions': 1, 'countries': 2, 'where': 1, 'operates': 1, 'provides': 1, 'services': 1, 'advice': 1, 'governments': 1, 'migrants': 1, 'includes': 1, 'presence': 1, 'over': 1, '100': 1, '175': 1, 'member': 1, 'states': 2, 'observer': 1, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'oceans': 1, 'maritime': 1, 'zones': 1, 'but': 1, 'works': 1, 'closely': 1, 'agencies': 1, 'partners': 1, 'address': 1, 'challenges': 1, 'opportunities': 1, 'migration': 1, 'sea': 1, 'rescue': 1, 'operations': 1, 'human': 1, 'trafficking': 1, 'environmental': 1, 'issues': 1, 'regional': 1, 'cooperation': 1}",,"100, 175, address, advice, agencies, all, authority, but, challenges, closely, cooperation, countries, covering, does, environmental, global, governments, human, includes, iom, issues, jurisdiction, maritime, member, migrants, migration, not, observer, oceans, operates, operations, opportunities, over, partners, presence, provides, regional, regions, rescue, sea, services, specific, states, trafficking, where, works, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Office for Project Services (UNOPS),"UNOPS's jurisdiction is global, covering all regions and countries where it implements infrastructure and procurement projects for the United Nations System, international financial institutions, governments and other partners (https://www.unops.org/project-locations). UNOPS does not have a specific authority on oceans and maritime zones, but it supports the efforts of its partners to protect the environment and enhance the resilience of communities to climate change.","unops, jurisdiction, global, covering, all, regions, countries, where, implements, infrastructure, procurement, projects, united, nations, system, international, financial, institutions, governments, partners, unops, does, not, specific, authority, oceans, maritime, zones, but, supports, efforts, partners, protect, environment, enhance, resilience, communities, climate, change","{'unops': 2, 'jurisdiction': 1, 'global': 1, 'covering': 1, 'all': 1, 'regions': 1, 'countries': 1, 'where': 1, 'implements': 1, 'infrastructure': 1, 'procurement': 1, 'projects': 1, 'united': 1, 'nations': 1, 'system': 1, 'international': 1, 'financial': 1, 'institutions': 1, 'governments': 1, 'partners': 2, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'oceans': 1, 'maritime': 1, 'zones': 1, 'but': 1, 'supports': 1, 'efforts': 1, 'protect': 1, 'environment': 1, 'enhance': 1, 'resilience': 1, 'communities': 1, 'climate': 1, 'change': 1}",,"all, authority, but, change, climate, communities, countries, covering, does, efforts, enhance, environment, financial, global, governments, implements, infrastructure, institutions, international, jurisdiction, maritime, nations, not, oceans, partners, procurement, projects, protect, regions, resilience, specific, supports, system, united, unops, where, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
UN Entity for Gender Equality and the Empowerment of Women (UN-Women),"UN-Women’s jurisdiction is global, encompassing all regions and countries where the United Nations operates. This includes a focus on conflict-affected and fragile states, where women’s rights and participation are often most at risk. UN Women does not have specific authority over ocean space, territory, or maritime zones, but rather works with governments, civil society, and other UN entities to promote gender equality and women’s empowerment in all spheres of life (https://www.unwomen.org/en/about-us/about-un-women).","women, jurisdiction, global, encompassing, all, regions, countries, where, united, nations, operates, includes, focus, conflict, affected, fragile, states, where, women, rights, participation, often, most, risk, women, does, not, specific, authority, over, ocean, space, territory, maritime, zones, but, rather, works, governments, civil, society, entities, promote, gender, equality, women, empowerment, all, spheres, life","{'women': 4, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, 'all': 2, 'regions': 1, 'countries': 1, 'where': 2, 'united': 1, 'nations': 1, 'operates': 1, 'includes': 1, 'focus': 1, 'conflict': 1, 'affected': 1, 'fragile': 1, 'states': 1, 'rights': 1, 'participation': 1, 'often': 1, 'most': 1, 'risk': 1, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'over': 1, 'ocean': 1, 'space': 1, 'territory': 1, 'maritime': 1, 'zones': 1, 'but': 1, 'rather': 1, 'works': 1, 'governments': 1, 'civil': 1, 'society': 1, 'entities': 1, 'promote': 1, 'gender': 1, 'equality': 1, 'empowerment': 1, 'spheres': 1, 'life': 1}",,"affected, all, authority, but, civil, conflict, countries, does, empowerment, encompassing, entities, equality, focus, fragile, gender, global, governments, includes, jurisdiction, life, maritime, most, nations, not, ocean, often, operates, over, participation, promote, rather, regions, rights, risk, society, space, specific, spheres, states, territory, united, where, women, works, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Intellectual Property Organisation (WIPO),"WIPO does not have a specific authority over oceans and maritime zones, although its jurisdiction is global, encompassing its 193 member states that span all continents and regions (https://www.wipo.int/members/en/). This includes a focus on developing countries and least developed countries, with assistance in building their Intellectual Property (IP) capacity and infrastructure. ","wipo, does, not, specific, authority, over, oceans, maritime, zones, although, jurisdiction, global, encompassing, 193, member, states, span, all, continents, regions, includes, focus, developing, countries, least, developed, countries, assistance, building, intellectual, property, capacity, infrastructure","{'wipo': 1, 'does': 1, 'not': 1, 'specific': 1, 'authority': 1, 'over': 1, 'oceans': 1, 'maritime': 1, 'zones': 1, 'although': 1, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, '193': 1, 'member': 1, 'states': 1, 'span': 1, 'all': 1, 'continents': 1, 'regions': 1, 'includes': 1, 'focus': 1, 'developing': 1, 'countries': 2, 'least': 1, 'developed': 1, 'assistance': 1, 'building': 1, 'intellectual': 1, 'property': 1, 'capacity': 1, 'infrastructure': 1}",,"193, all, although, assistance, authority, building, capacity, continents, countries, developed, developing, does, encompassing, focus, global, includes, infrastructure, intellectual, jurisdiction, least, maritime, member, not, oceans, over, property, regions, span, specific, states, wipo, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
UN Population Fund (UNFPA),"The UNFPA does not have jurisdiction over specific geographical areas, oceans, or maritime zones. Instead, its mandate is to address population and development issues worldwide, operating within political regions such as Arab States, Asia & the Pacific, East & Southern Africa, Eastern Europe & Central Asia, Latin America & the Caribbean, and West & Central Africa (https://www.unfpa.org/worldwide).","unfpa, does, not, jurisdiction, over, specific, geographical, areas, oceans, maritime, zones, instead, mandate, address, population, development, issues, worldwide, operating, political, regions, arab, states, asia, pacific, east, southern, africa, eastern, europe, central, asia, latin, america, caribbean, west, central, africa","{'unfpa': 1, 'does': 1, 'not': 1, 'jurisdiction': 1, 'over': 1, 'specific': 1, 'geographical': 1, 'areas': 1, 'oceans': 1, 'maritime': 1, 'zones': 1, 'instead': 1, 'mandate': 1, 'address': 1, 'population': 1, 'development': 1, 'issues': 1, 'worldwide': 1, 'operating': 1, 'political': 1, 'regions': 1, 'arab': 1, 'states': 1, 'asia': 2, 'pacific': 1, 'east': 1, 'southern': 1, 'africa': 2, 'eastern': 1, 'europe': 1, 'central': 2, 'latin': 1, 'america': 1, 'caribbean': 1, 'west': 1}",,"address, africa, america, arab, areas, asia, caribbean, central, development, does, east, eastern, europe, geographical, instead, issues, jurisdiction, latin, mandate, maritime, not, oceans, operating, over, pacific, political, population, regions, southern, specific, states, unfpa, west, worldwide, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
United Nations Human Settlements Programme (UN-Habitat),"UN-Habitat's jurisdiction is not limited to any specific geographical area, but rather covers all human settlements and sustainable urban development issues worldwide with presence in more than 90 countries in five continents and a focus on cities and towns, as well as rural and peri-urban areas (https://unhabitat.org/about-us). UN-Habitat does not have a direct jurisdiction on oceans and maritime zones, but supports the implementation of the SDGs and other international agendas that relate to urbanization and human settlements.","habitat, jurisdiction, not, limited, any, specific, geographical, area, but, rather, covers, all, human, settlements, sustainable, urban, development, issues, worldwide, presence, more, than, countries, five, continents, focus, cities, towns, well, rural, peri, urban, areas, habitat, does, not, direct, jurisdiction, oceans, maritime, zones, but, supports, implementation, sdgs, international, agendas, relate, urbanization, human, settlements","{'habitat': 2, 'jurisdiction': 2, 'not': 2, 'limited': 1, 'any': 1, 'specific': 1, 'geographical': 1, 'area': 1, 'but': 2, 'rather': 1, 'covers': 1, 'all': 1, 'human': 2, 'settlements': 2, 'sustainable': 1, 'urban': 2, 'development': 1, 'issues': 1, 'worldwide': 1, 'presence': 1, 'more': 1, 'than': 1, 'countries': 1, 'five': 1, 'continents': 1, 'focus': 1, 'cities': 1, 'towns': 1, 'well': 1, 'rural': 1, 'peri': 1, 'areas': 1, 'does': 1, 'direct': 1, 'oceans': 1, 'maritime': 1, 'zones': 1, 'supports': 1, 'implementation': 1, 'sdgs': 1, 'international': 1, 'agendas': 1, 'relate': 1, 'urbanization': 1}",,"agendas, all, any, area, areas, but, cities, continents, countries, covers, development, direct, does, five, focus, geographical, habitat, human, implementation, international, issues, jurisdiction, limited, maritime, more, not, oceans, peri, presence, rather, relate, rural, sdgs, settlements, specific, supports, sustainable, than, towns, urban, urbanization, well, worldwide, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Food Programme (WFP),"The World Food Programme (WFP) is a global organization that operates in over 120 countries and territories. However, it doesn't have jurisdiction over specific geographical areas such as oceans or maritime zones, but rather operates wherever there is a need to provide food assistance in emergencies and support sustainable livelihoods to achieve zero hunger, irrespective of political or economic zones (https://www.wfp.org/who-we-are).","world, food, programme, wfp, global, organization, operates, over, 120, countries, territories, however, doesn, jurisdiction, over, specific, geographical, areas, oceans, maritime, zones, but, rather, operates, wherever, there, need, provide, food, assistance, emergencies, support, sustainable, livelihoods, achieve, zero, hunger, irrespective, political, economic, zones","{'world': 1, 'food': 2, 'programme': 1, 'wfp': 1, 'global': 1, 'organization': 1, 'operates': 2, 'over': 2, '120': 1, 'countries': 1, 'territories': 1, 'however': 1, 'doesn': 1, 'jurisdiction': 1, 'specific': 1, 'geographical': 1, 'areas': 1, 'oceans': 1, 'maritime': 1, 'zones': 2, 'but': 1, 'rather': 1, 'wherever': 1, 'there': 1, 'need': 1, 'provide': 1, 'assistance': 1, 'emergencies': 1, 'support': 1, 'sustainable': 1, 'livelihoods': 1, 'achieve': 1, 'zero': 1, 'hunger': 1, 'irrespective': 1, 'political': 1, 'economic': 1}",,"120, achieve, areas, assistance, but, countries, doesn, economic, emergencies, food, geographical, global, however, hunger, irrespective, jurisdiction, livelihoods, maritime, need, oceans, operates, organization, over, political, programme, provide, rather, specific, support, sustainable, territories, there, wfp, wherever, world, zero, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
World Tourism Organization/UN Tourism (UNWTO),"UNWTO's jurisdiction is global, encompassing its 160 member states and six associate members from all regions of the world. This includes a focus on developing countries and small island developing states (SIDS) within the oceans, with authority to promote sustainable tourism practices and policies (https://www.unwto.org/about-us#:~:text=Members%3A%20An%20intergovernmental%20organization%2C%20UN,supreme%20organ%20of%20the%20Organization.). However, UN Tourism does not have direct control over the maritime zones or ocean space of its members, as these are subject to national sovereignty and international law.","unwto, jurisdiction, global, encompassing, 160, member, states, six, associate, members, all, regions, world, includes, focus, developing, countries, small, island, developing, states, sids, oceans, authority, promote, sustainable, tourism, practices, policies, however, tourism, does, not, direct, control, over, maritime, zones, ocean, space, members, subject, national, sovereignty, international, law","{'unwto': 1, 'jurisdiction': 1, 'global': 1, 'encompassing': 1, '160': 1, 'member': 1, 'states': 2, 'six': 1, 'associate': 1, 'members': 2, 'all': 1, 'regions': 1, 'world': 1, 'includes': 1, 'focus': 1, 'developing': 2, 'countries': 1, 'small': 1, 'island': 1, 'sids': 1, 'oceans': 1, 'authority': 1, 'promote': 1, 'sustainable': 1, 'tourism': 2, 'practices': 1, 'policies': 1, 'however': 1, 'does': 1, 'not': 1, 'direct': 1, 'control': 1, 'over': 1, 'maritime': 1, 'zones': 1, 'ocean': 1, 'space': 1, 'subject': 1, 'national': 1, 'sovereignty': 1, 'international': 1, 'law': 1}",,"160, all, associate, authority, control, countries, developing, direct, does, encompassing, focus, global, however, includes, international, island, jurisdiction, law, maritime, member, members, national, not, ocean, oceans, over, policies, practices, promote, regions, sids, six, small, sovereignty, space, states, subject, sustainable, tourism, unwto, world, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
UN Research Institute for Social Development (UNRISD),"UNRISD's work is global in nature as an autonomous research institute within the United Nations, focusing primarily on the developing world, although not  limited to exclusive economic or political zones (https://www.unrisd.org/en/about). It does not have jurisdiction over any specific geographical area, ocean space, territory, or maritime zones.","unrisd, work, global, nature, autonomous, research, institute, united, nations, focusing, primarily, developing, world, although, not, limited, exclusive, economic, political, zones, does, not, jurisdiction, over, any, specific, geographical, area, ocean, space, territory, maritime, zones","{'unrisd': 1, 'work': 1, 'global': 1, 'nature': 1, 'autonomous': 1, 'research': 1, 'institute': 1, 'united': 1, 'nations': 1, 'focusing': 1, 'primarily': 1, 'developing': 1, 'world': 1, 'although': 1, 'not': 2, 'limited': 1, 'exclusive': 1, 'economic': 1, 'political': 1, 'zones': 2, 'does': 1, 'jurisdiction': 1, 'over': 1, 'any': 1, 'specific': 1, 'geographical': 1, 'area': 1, 'ocean': 1, 'space': 1, 'territory': 1, 'maritime': 1}",,"although, any, area, autonomous, developing, does, economic, exclusive, focusing, geographical, global, institute, jurisdiction, limited, maritime, nations, nature, not, ocean, over, political, primarily, research, space, specific, territory, united, unrisd, work, world, zones",[],,{},,0,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
"Secretariat of the Basel, Rotterdam and Stockholm Conventions (BRS)


","The BRS Secretariat's jurisdiction is global, covering all parties to the Basel, Rotterdam and Stockholm conventions (https://www.brsmeas.org/Decisionmaking/Overview/AboutSynergies/tabid/2614/language/en-US/Default.aspx). This includes all ocean space, territory and maritime zones of the parties, as well as areas beyond national jurisdiction where the conventions apply, such as the high seas and the Antarctic . BRS Secretariat does not have a specific distance limit within its jurisdiction, but rather follows the principles and rules of international law and the conventions themselves.","brs, secretariat, jurisdiction, global, covering, all, parties, basel, rotterdam, stockholm, conventions, includes, all, ocean, space, territory, maritime, zones, parties, well, areas, beyond, national, jurisdiction, where, conventions, apply, high, seas, antarctic, brs, secretariat, does, not, specific, distance, limit, jurisdiction, but, rather, follows, principles, rules, international, law, conventions, themselves","{'brs': 2, 'secretariat': 2, 'jurisdiction': 3, 'global': 1, 'covering': 1, 'all': 2, 'parties': 2, 'basel': 1, 'rotterdam': 1, 'stockholm': 1, 'conventions': 3, 'includes': 1, 'ocean': 1, 'space': 1, 'territory': 1, 'maritime': 1, 'zones': 1, 'well': 1, 'areas': 1, 'beyond': 1, 'national': 1, 'where': 1, 'apply': 1, 'high': 1, 'seas': 1, 'antarctic': 1, 'does': 1, 'not': 1, 'specific': 1, 'distance': 1, 'limit': 1, 'but': 1, 'rather': 1, 'follows': 1, 'principles': 1, 'rules': 1, 'international': 1, 'law': 1, 'themselves': 1}","high seas: here the conventions apply, such as the **high seas** and the Antarctic . BRS Secretariat doe","all, antarctic, apply, areas, basel, beyond, brs, but, conventions, covering, distance, does, follows, global, high, includes, international, jurisdiction, law, limit, maritime, national, not, ocean, parties, principles, rather, rotterdam, rules, seas, secretariat, space, specific, stockholm, territory, themselves, well, where, zones",['High Seas'],High Seas,{'High Seas': ['high seas']},High Seas: matched high seas (string match + KWIC),1,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
"Secretariat of the Convention on Biological Diversity (CBD)

","The CBD's jurisdiction is based on the principle of national sovereignty over biological diversity, meaning that the CBD applies to the components of biological diversity in areas within the limits of each Contracting Party's national jurisdiction, and to the processes and activities carried out under its jurisdiction or control, regardless of where their effects occur (https://www.cbd.int/doc/legal/cbd-en.pdf). The CBD does not have authority over oceans and maritime zones beyond the limits of national jurisdiction, except for the responsibility to prevent or minimize damage to the environment of other States or of areas beyond the limits of national jurisdiction (https://www.cbd.int/doc/legal/cbd-en.pdf). Therefore, the CBD's jurisdiction varies depending on the extent of each Contracting Party's national jurisdiction, which may include exclusive economic zones (EEZs), territorial waters, contiguous zones, inland waters, and coastal areas.","cbd, jurisdiction, based, principle, national, sovereignty, over, biological, diversity, meaning, cbd, applies, components, biological, diversity, areas, limits, each, contracting, party, national, jurisdiction, processes, activities, carried, out, under, jurisdiction, control, regardless, where, effects, occur, cbd, does, not, authority, over, oceans, maritime, zones, beyond, limits, national, jurisdiction, except, responsibility, prevent, minimize, damage, environment, states, areas, beyond, limits, national, jurisdiction, therefore, cbd, jurisdiction, varies, depending, extent, each, contracting, party, national, jurisdiction, exclusive, economic, zones, eezs, territorial, waters, contiguous, zones, inland, waters, coastal, areas","{'cbd': 4, 'jurisdiction': 7, 'based': 1, 'principle': 1, 'national': 5, 'sovereignty': 1, 'over': 2, 'biological': 2, 'diversity': 2, 'meaning': 1, 'applies': 1, 'components': 1, 'areas': 3, 'limits': 3, 'each': 2, 'contracting': 2, 'party': 2, 'processes': 1, 'activities': 1, 'carried': 1, 'out': 1, 'under': 1, 'control': 1, 'regardless': 1, 'where': 1, 'effects': 1, 'occur': 1, 'does': 1, 'not': 1, 'authority': 1, 'oceans': 1, 'maritime': 1, 'zones': 3, 'beyond': 2, 'except': 1, 'responsibility': 1, 'prevent': 1, 'minimize': 1, 'damage': 1, 'environment': 1, 'states': 1, 'therefore': 1, 'varies': 1, 'depending': 1, 'extent': 1, 'exclusive': 1, 'economic': 1, 'eezs': 1, 'territorial': 1, 'waters': 2, 'contiguous': 1, 'inland': 1, 'coastal': 1}","inland waters: , territorial waters, contiguous zones, **inland waters**, and coastal areas.; territorial waters: nclude exclusive economic zones (EEZs), **territorial waters**, contiguous zones, inland waters, and c; contiguous zone: nomic zones (EEZs), territorial waters, **contiguous zone**s, inland waters, and coastal areas.; exclusive economic zone: ational jurisdiction, which may include **exclusive economic zone**s (EEZs), territorial waters, contiguous; eez: h may include exclusive economic zones (**EEZ**s), territorial waters, contiguous zones","activities, applies, areas, authority, based, beyond, biological, carried, cbd, coastal, components, contiguous, contracting, control, damage, depending, diversity, does, each, economic, eezs, effects, environment, except, exclusive, extent, inland, jurisdiction, limits, maritime, meaning, minimize, national, not, occur, oceans, out, over, party, prevent, principle, processes, regardless, responsibility, sovereignty, states, territorial, therefore, under, varies, waters, where, zones","['Internal Waters (IW)', 'Territorial Sea (TS)', 'Contiguous Zone (CZ)', 'Exclusive Economic Zone (EEZ)']",Internal Waters (IW); Territorial Sea (TS); Contiguous Zone (CZ); Exclusive Economic Zone (EEZ),"{'Internal Waters (IW)': ['inland waters'], 'Territorial Sea (TS)': ['territorial waters'], 'Contiguous Zone (CZ)': ['contiguous zone'], 'Exclusive Economic Zone (EEZ)': ['exclusive economic zone', 'eez']}","Internal Waters (IW): matched inland waters (string match + KWIC) | Territorial Sea (TS): matched territorial waters (string match + KWIC) | Contiguous Zone (CZ): matched contiguous zone (string match + KWIC) | Exclusive Economic Zone (EEZ): matched exclusive economic zone, eez (string match + KWIC)",4,"URLs removed; text lowercased; non‑alphanumerics stripped; stopwords removed. Keywords extracted and frequencies computed. Candidate Spatial Jurisdiction categories identified via lexical phrase matches (UNCLOS‑relevant terms) and validated with KWIC snippets. Includes consolidated keywords, triggers, mapping rationale, and ordinal breadth score (0–10)."
